puck_id,x_ofset,y_offset,z_offset
L1a_tile_1409,135236,333279,0
L1a_tile_1410,135236,369621,0
L1a_tile_1411,135236,405963,0
L1a_tile_1412,135236,442305,0
L1a_tile_1413,135236,478647,0
L1a_tile_1414,135236,514989,0
L1a_tile_1415,135236,551331,0
L1a_tile_1416,135236,587673,0
L1a_tile_1417,135236,624015,0
L1a_tile_1418,135236,660357,0
L1a_tile_1419,135236,696699,0
L1a_tile_1420,135236,733041,0
L1a_tile_1421,135236,769383,0
L1a_tile_1422,135236,805725,0
L1a_tile_1423,135236,842067,0
L1a_tile_1424,135236,878409,0
L1a_tile_1425,135236,914751,0
L1a_tile_1426,135236,951093,0
L1a_tile_1427,135236,987435,0
L1a_tile_1428,135236,1023777,0
L1a_tile_1429,135236,1060119,0
L1a_tile_1430,135236,1096461,0
L1a_tile_1431,135236,1132803,0
L1a_tile_1432,135236,1169145,0
L1a_tile_1433,135236,1205487,0
L1a_tile_1434,135236,1241829,0
L1a_tile_1435,135236,1278171,0
L1a_tile_1436,135236,1314513,0
L1a_tile_1437,135236,1350855,0
L1a_tile_1438,135236,1387197,0
L1a_tile_1439,135236,1423539,0
L1a_tile_1440,135236,1459881,0
L1a_tile_1441,135236,1496223,0
L1a_tile_1442,135236,1532565,0
L1a_tile_1443,135236,1568907,0
L1a_tile_1444,135236,1605249,0
L1a_tile_1445,135236,1641591,0
L1a_tile_1446,135236,1677933,0
L1a_tile_1447,135236,1714275,0
L1a_tile_1448,135236,1750617,0
L1a_tile_1449,135236,1786959,0
L1a_tile_1450,135236,1823301,0
L1a_tile_1451,135236,1859643,0
L1a_tile_1452,135236,1895985,0
L1a_tile_1453,135236,1932327,0
L1a_tile_1454,135236,1968669,0
L1a_tile_1455,135236,2005011,0
L1a_tile_1456,135236,2041353,0
L1a_tile_1457,135236,2077695,0
L1a_tile_1458,135236,2114037,0
L1a_tile_1459,135236,2150379,0
L1a_tile_1460,135236,2186721,0
L1a_tile_1461,135236,2223063,0
L1a_tile_1462,135236,2259405,0
L1a_tile_1463,135236,2295747,0
L1a_tile_1464,135236,2332089,0
L1a_tile_1465,135236,2368431,0
L1a_tile_1466,135236,2404773,0
L1a_tile_1467,135236,2441115,0
L1a_tile_1468,135236,2477457,0
L1a_tile_1469,135236,2513799,0
L1a_tile_1470,135236,2550141,0
L1a_tile_1471,135236,2586483,0
L1a_tile_1472,135236,2622825,0
L1a_tile_1473,135236,2659167,0
L1a_tile_1474,135236,2695509,0
L1a_tile_1475,135236,2731851,0
L1a_tile_1476,135236,2768193,0
L1a_tile_1477,135236,2804535,0
L1a_tile_1478,135236,2840877,0
L1a_tile_1501,169045,36342,0
L1a_tile_1502,169045,72684,0
L1a_tile_1503,169045,109026,0
L1a_tile_1504,169045,145368,0
L1a_tile_1505,169045,181710,0
L1a_tile_1506,169045,218052,0
L1a_tile_1507,169045,254394,0
L1a_tile_1508,169045,290736,0
L1a_tile_1509,169045,327078,0
L1a_tile_1510,169045,363420,0
L1a_tile_1511,169045,399762,0
L1a_tile_1512,169045,436104,0
L1a_tile_1513,169045,472446,0
L1a_tile_1514,169045,508788,0
L1a_tile_1515,169045,545130,0
L1a_tile_1516,169045,581472,0
L1a_tile_1517,169045,617814,0
